iter	MultiClass
0	1.696514339
1	1.618290289
2	1.549976993
3	1.493315774
4	1.441428646
5	1.394692531
6	1.348920354
7	1.312503533
8	1.277155531
9	1.25126211
10	1.217916965
11	1.188750744
12	1.161540313
13	1.138910816
14	1.118863953
15	1.096594968
16	1.077431786
17	1.058319948
18	1.042738594
19	1.028676582
20	1.01399874
21	1.000840378
22	0.9876663896
23	0.9758744331
24	0.9630410836
25	0.9518878032
26	0.9410283064
27	0.931515231
28	0.9217105223
29	0.9125609906
30	0.9029965765
31	0.8946575003
32	0.8865551096
33	0.8786702848
34	0.8708340655
35	0.8653971203
36	0.8578519077
37	0.8514778891
38	0.8438845467
39	0.8379928359
40	0.8320227842
41	0.8260392937
42	0.8208960529
43	0.8166622101
44	0.8108933675
45	0.8054251097
46	0.8000732574
47	0.7944163134
48	0.7895292397
49	0.7847131365
50	0.7795444734
51	0.7749660386
52	0.7704881139
53	0.7661087
54	0.7616435056
55	0.7557373253
56	0.7492835703
57	0.7449775463
58	0.7402310054
59	0.7377767771
60	0.7333871639
61	0.7300952454
62	0.7260011757
63	0.7219591625
64	0.7187522291
65	0.7133269582
66	0.7097197805
67	0.7067543362
68	0.7036765249
69	0.7008229462
70	0.6971681483
71	0.6925248665
72	0.6894564146
73	0.6866202132
74	0.683974246
75	0.6816797036
76	0.6771851308
77	0.6744718339
78	0.672052712
79	0.6683842479
80	0.6646534116
81	0.6609197529
82	0.6580170685
83	0.6536352444
84	0.6514192453
85	0.649212685
86	0.6471922271
87	0.6442697099
88	0.6414615069
89	0.6377401227
90	0.6344655568
91	0.6316040862
92	0.6295131353
93	0.6274029723
94	0.6239663959
95	0.6209771085
96	0.618689507
97	0.6148864703
98	0.6119114384
99	0.6108576092
100	0.6078365239
101	0.6054146395
102	0.6016131196
103	0.5988473201
104	0.5956419399
105	0.5932129273
106	0.5906678179
107	0.5875081626
108	0.5853363075
109	0.5832850912
110	0.5803308841
111	0.5773574372
112	0.575139141
113	0.573352187
114	0.5709102529
115	0.5689574215
116	0.5669303677
117	0.5637420782
118	0.5606045621
119	0.5582821953
120	0.5560217624
121	0.5544343349
122	0.5520293866
123	0.5489280568
124	0.5469334239
125	0.5446380848
126	0.5411849883
127	0.5398075445
128	0.5371723389
129	0.5363765579
130	0.5338860262
131	0.531918467
132	0.5289466255
133	0.5271567197
134	0.5246923123
135	0.5227832063
136	0.5210461508
137	0.5190731324
138	0.5156813492
139	0.5121645259
140	0.5090396054
141	0.5081709462
142	0.5072615991
143	0.5051621005
144	0.5030569316
145	0.5006069384
146	0.4987375305
147	0.4963322964
148	0.4943493627
149	0.4915074305
150	0.4891906837
151	0.4857889984
152	0.4835799747
153	0.4814622809
154	0.4804052533
155	0.4788044392
156	0.4773588509
157	0.4751512693
158	0.4733542748
159	0.4719625992
160	0.4697803623
161	0.4681006052
162	0.4653455318
