iter	Passed	Remaining
0	4	4146
1	7	3966
2	11	3791
3	16	4121
4	19	3978
5	23	3932
6	27	3896
7	31	3939
8	47	5208
9	51	5109
10	55	4974
11	59	4879
12	63	4821
13	67	4758
14	71	4675
15	75	4619
16	79	4597
17	83	4575
18	88	4549
19	91	4491
20	95	4452
21	98	4400
22	102	4355
23	106	4322
24	109	4273
25	114	4275
26	117	4240
27	121	4228
28	125	4200
29	129	4180
30	133	4165
31	136	4144
32	140	4126
33	146	4149
34	150	4148
35	154	4133
36	158	4119
37	162	4114
38	166	4108
39	170	4097
40	174	4092
41	179	4105
42	183	4092
43	188	4085
44	192	4075
45	196	4081
46	200	4069
47	204	4054
48	208	4050
49	212	4034
50	216	4025
51	220	4020
52	224	4002
53	228	3996
54	232	3986
55	235	3976
56	239	3965
57	244	3963
58	248	3961
59	252	3948
60	255	3939
61	259	3926
62	263	3921
63	267	3913
64	271	3903
65	276	3906
66	279	3898
67	283	3887
68	287	3875
69	291	3866
70	295	3859
71	298	3851
72	302	3846
73	307	3844
74	310	3833
75	314	3826
76	318	3819
77	322	3813
78	326	3810
79	330	3802
80	334	3796
81	339	3797
82	344	3805
83	348	3800
84	352	3794
85	356	3786
86	360	3778
87	364	3775
88	368	3770
89	372	3771
90	376	3765
91	380	3757
92	384	3749
93	388	3744
94	392	3738
95	396	3732
96	400	3728
97	405	3729
98	409	3725
99	413	3719
100	417	3714
101	421	3709
102	425	3703
103	429	3698
104	433	3692
105	437	3693
106	441	3686
107	445	3679
108	449	3674
109	453	3670
110	457	3664
111	461	3660
112	465	3653
113	470	3656
114	474	3649
115	477	3642
116	481	3635
117	485	3629
118	489	3623
119	492	3615
120	496	3607
121	500	3603
122	504	3599
123	508	3595
124	512	3590
125	516	3586
126	520	3580
127	524	3575
128	529	3572
129	533	3570
130	538	3574
131	543	3572
132	547	3571
133	552	3572
134	556	3568
135	561	3564
136	565	3562
137	569	3557
138	573	3554
139	578	3552
140	582	3548
141	586	3546
142	590	3541
143	594	3536
144	599	3533
145	603	3529
146	607	3526
147	611	3520
148	615	3514
149	619	3509
150	623	3503
151	626	3496
152	630	3489
153	634	3487
154	638	3481
155	642	3475
156	646	3471
157	650	3464
158	653	3458
159	657	3454
160	662	3450
161	666	3448
162	670	3441
163	673	3434
164	677	3428
165	681	3424
166	685	3419
167	689	3413
168	693	3411
169	699	3413
170	702	3407
171	706	3401
172	710	3396
173	714	3391
174	718	3387
175	720	3374
176	724	3370
177	729	3371
178	734	3369
179	738	3362
180	742	3358
181	746	3353
182	750	3350
183	754	3346
184	758	3341
185	763	3341
186	767	3335
187	771	3331
188	774	3324
189	778	3319
190	782	3315
191	786	3309
192	790	3304
193	794	3301
194	798	3295
195	802	3291
196	806	3286
197	810	3281
198	813	3275
199	817	3269
200	821	3265
201	825	3260
202	829	3255
203	833	3251
204	837	3246
205	840	3241
206	844	3236
207	848	3232
208	852	3225
209	856	3221
210	860	3219
211	864	3213
212	868	3209
213	872	3204
214	876	3200
215	880	3196
216	884	3190
217	887	3185
218	892	3181
219	895	3175
220	899	3171
221	903	3166
222	907	3162
223	911	3157
224	915	3151
225	919	3148
226	923	3146
227	928	3142
228	931	3137
229	935	3133
230	940	3129
231	944	3126
232	948	3122
233	952	3119
234	958	3118
235	962	3115
236	966	3112
237	971	3109
238	975	3106
239	980	3105
240	985	3103
241	990	3103
242	995	3100
243	999	3097
244	1003	3093
245	1008	3091
246	1013	3088
247	1017	3086
248	1022	3084
249	1027	3081
250	1031	3077
251	1035	3073
252	1039	3069
253	1043	3066
254	1048	3061
255	1052	3058
256	1056	3054
257	1060	3049
258	1064	3044
259	1067	3039
260	1071	3034
261	1075	3030
262	1079	3026
263	1083	3021
264	1088	3017
265	1092	3014
266	1095	3008
267	1099	3004
268	1104	3000
269	1107	2994
270	1111	2990
271	1115	2986
272	1121	2986
273	1125	2981
274	1128	2976
275	1132	2971
276	1136	2967
277	1140	2962
278	1144	2957
279	1148	2952
280	1152	2949
281	1156	2944
282	1160	2939
283	1164	2935
284	1167	2929
285	1171	2925
286	1175	2920
287	1179	2915
288	1183	2912
289	1188	2908
290	1192	2905
291	1196	2901
292	1201	2898
293	1206	2896
294	1210	2892
295	1214	2888
296	1218	2883
297	1222	2879
298	1226	2875
299	1230	2870
300	1233	2865
301	1237	2860
302	1241	2855
303	1245	2851
304	1250	2848
305	1253	2843
306	1257	2839
307	1261	2833
308	1265	2829
309	1269	2824
310	1272	2820
311	1276	2815
312	1281	2812
313	1285	2808
314	1289	2803
315	1293	2798
316	1297	2794
317	1301	2790
318	1304	2785
319	1308	2781
320	1312	2776
321	1317	2774
322	1321	2770
323	1325	2766
324	1329	2761
325	1333	2757
326	1337	2753
327	1341	2749
328	1346	2746
329	1350	2741
330	1353	2736
331	1357	2731
332	1361	2726
333	1364	2721
334	1369	2717
335	1372	2712
336	1377	2709
337	1381	2705
338	1385	2700
339	1389	2696
340	1393	2692
341	1397	2688
342	1400	2682
343	1404	2678
344	1408	2674
345	1412	2669
346	1416	2665
347	1420	2660
348	1423	2656
349	1427	2651
350	1431	2647
351	1435	2642
352	1439	2638
353	1443	2635
